TIME;SEX;GEO;AGE;Value
2019;Male;18: Alentejo;27 anos;3
2019;Male;18: Alentejo;28 anos;5
2019;Male;18: Alentejo;29 anos;6
2019;Male;18: Alentejo;30 anos;4
2019;Male;18: Alentejo;31 anos;4
2019;Male;18: Alentejo;32 anos;4
2019;Male;18: Alentejo;33 anos;6
2019;Male;18: Alentejo;34 anos;4
2019;Male;18: Alentejo;35 anos;4
2019;Male;18: Alentejo;36 anos;4
2019;Male;18: Alentejo;37 anos;4
2019;Male;18: Alentejo;38 anos;9
2019;Male;18: Alentejo;39 anos;8
2019;Male;18: Alentejo;40 anos;10
2019;Male;18: Alentejo;41 anos;8
2019;Male;18: Alentejo;42 anos;7
2019;Male;18: Alentejo;43 anos;7
2019;Male;18: Alentejo;44 anos;9
2019;Male;18: Alentejo;45 anos;16
2019;Male;18: Alentejo;46 anos;16
2019;Male;18: Alentejo;47 anos;16
2019;Male;18: Alentejo;48 anos;24
2019;Male;18: Alentejo;49 anos;26
2019;Male;18: Alentejo;50 anos;19
2019;Male;18: Alentejo;51 anos;18
2019;Male;18: Alentejo;52 anos;36
2019;Male;18: Alentejo;53 anos;29
2019;Male;18: Alentejo;54 anos;32
2019;Male;18: Alentejo;55 anos;36
2019;Male;18: Alentejo;56 anos;31
2019;Male;18: Alentejo;57 anos;38
2019;Male;18: Alentejo;58 anos;35
2019;Male;18: Alentejo;59 anos;45
2019;Male;18: Alentejo;60 anos;58
2019;Male;18: Alentejo;61 anos;54
2019;Male;18: Alentejo;62 anos;71
2019;Male;18: Alentejo;63 anos;60
2019;Male;18: Alentejo;64 anos;69
2019;Male;18: Alentejo;65 anos;60
2019;Male;18: Alentejo;66 anos;94
2019;Male;18: Alentejo;67 anos;66
2019;Male;18: Alentejo;68 anos;86
2019;Male;18: Alentejo;69 anos;83
2019;Male;18: Alentejo;70 anos;99
2019;Male;18: Alentejo;71 anos;91
2019;Male;18: Alentejo;72 anos;90
2019;Male;18: Alentejo;73 anos;114
2019;Male;18: Alentejo;74 anos;92
2019;Male;18: Alentejo;75 anos;109
2019;Male;18: Alentejo;76 anos;114
2019;Male;18: Alentejo;77 anos;114
2019;Male;18: Alentejo;78 anos;139
2019;Male;18: Alentejo;79 anos;135
2019;Male;18: Alentejo;80 anos;170
2019;Male;18: Alentejo;81 anos;152
2019;Male;18: Alentejo;82 anos;212
2019;Male;18: Alentejo;83 anos;210
2019;Male;18: Alentejo;84 anos;222
2019;Male;18: Alentejo;85 anos;229
2019;Male;18: Alentejo;86 anos;223
2019;Male;18: Alentejo;87 anos;224
2019;Male;18: Alentejo;88 anos;206
2019;Male;18: Alentejo;89 anos;160
2019;Male;18: Alentejo;90 anos;168
2019;Male;18: Alentejo;91 anos;124
2019;Male;18: Alentejo;92 anos;126
2019;Male;18: Alentejo;93 anos;110
2019;Male;18: Alentejo;94 anos;80
2019;Male;18: Alentejo;95 anos;69
2019;Male;18: Alentejo;96 anos;64
2019;Male;18: Alentejo;97 anos;39
2019;Male;18: Alentejo;98 anos;25
2019;Male;18: Alentejo;99 anos;13
2019;Male;18: Alentejo;100 anos;10
2019;Male;18: Alentejo;101 anos;6
2019;Male;18: Alentejo;102 anos;5
2019;Male;18: Alentejo;103 anos;0
2019;Male;18: Alentejo;104 anos;0
2019;Male;18: Alentejo;105 anos;0
2019;Male;18: Alentejo;106 anos;0
2019;Male;18: Alentejo;107 anos;0
2019;Male;18: Alentejo;108 anos;0
2019;Male;18: Alentejo;109 anos;0
2019;Male;18: Alentejo;110 anos;0
2019;Male;18: Alentejo;111 anos;0
2019;Male;18: Alentejo;112 anos;0
2019;Male;18: Alentejo;113 anos;0
2019;Male;18: Alentejo;114 anos;0
2019;Male;18: Alentejo;115 anos;0
2019;Male;18: Alentejo;116 anos;0
2019;Male;18: Alentejo;117 anos;0
2019;Male;18: Alentejo;118 anos;0
2019;Male;18: Alentejo;119 anos;0
2019;Male;18: Alentejo;120 e mais anos;0
2019;Male;15: Algarve;Menos de 1 ano;7
2019;Male;15: Algarve;1 ano;1
2019;Male;15: Algarve;2 anos;1
2019;Male;15: Algarve;3 anos;0
2019;Male;15: Algarve;4 anos;0
