"SEX","GEO","TIME","AGE","UNIT","Value","Flag and Footnotes"
"Males","Portugal","1994","27 years","Number","73,651",""
"Males","Portugal","1994","28 years","Number","73,131",""
"Males","Portugal","1994","29 years","Number","73,133",""
"Males","Portugal","1994","30 years","Number","71,733",""
"Males","Portugal","1994","31 years","Number","70,984",""
"Males","Portugal","1994","32 years","Number","70,678",""
"Males","Portugal","1994","33 years","Number","71,707",""
"Males","Portugal","1994","34 years","Number","68,756",""
"Males","Portugal","1994","35 years","Number","68,155",""
"Males","Portugal","1994","36 years","Number","68,616",""
"Males","Portugal","1994","37 years","Number","65,278",""
"Males","Portugal","1994","38 years","Number","66,476",""
"Males","Portugal","1994","39 years","Number","65,452",""
"Males","Portugal","1994","40 years","Number","63,109",""
"Males","Portugal","1994","41 years","Number","64,321",""
"Males","Portugal","1994","42 years","Number","64,300",""
"Males","Portugal","1994","43 years","Number","64,619",""
"Males","Portugal","1994","44 years","Number","63,423",""
"Males","Portugal","1994","45 years","Number","63,979",""
"Males","Portugal","1994","46 years","Number","58,747",""
"Males","Portugal","1994","47 years","Number","56,590",""
"Males","Portugal","1994","48 years","Number","59,299",""
"Males","Portugal","1994","49 years","Number","55,551",""
"Males","Portugal","1994","50 years","Number","54,053",""
"Males","Portugal","1994","51 years","Number","51,868",""
"Males","Portugal","1994","52 years","Number","49,109",""
"Males","Portugal","1994","53 years","Number","51,284",""
"Males","Portugal","1994","54 years","Number","52,812",""
"Males","Portugal","1994","55 years","Number","53,499",""
"Males","Portugal","1994","56 years","Number","52,219",""
"Males","Portugal","1994","57 years","Number","53,560",""
"Males","Portugal","1994","58 years","Number","54,182",""
"Males","Portugal","1994","59 years","Number","51,233",""
"Males","Portugal","1994","60 years","Number","51,211",""
"Males","Portugal","1994","61 years","Number","51,970",""
"Males","Portugal","1994","62 years","Number","51,336",""
"Males","Portugal","1994","63 years","Number","50,517",""
"Males","Portugal","1994","64 years","Number","47,240",""
"Males","Portugal","1994","65 years","Number","47,145",""
"Males","Portugal","1994","66 years","Number","44,065",""
"Males","Portugal","1994","67 years","Number","45,160",""
"Males","Portugal","1994","68 years","Number","43,305",""
"Males","Portugal","1994","69 years","Number","41,694",""
"Males","Portugal","1994","70 years","Number","39,005",""
"Males","Portugal","1994","71 years","Number","36,443",""
"Males","Portugal","1994","72 years","Number","34,812",""
"Males","Portugal","1994","73 years","Number","33,608",""
"Males","Portugal","1994","74 years","Number","27,319",""
"Males","Portugal","1994","75 years","Number","23,511",""
"Males","Portugal","1994","76 years","Number","23,203",""
"Males","Portugal","1994","77 years","Number","21,844",""
"Males","Portugal","1994","78 years","Number","20,775",""
"Males","Portugal","1994","79 years","Number","19,651",""
"Males","Portugal","1994","80 years","Number","17,460",""
"Males","Portugal","1994","81 years","Number","15,526",""
"Males","Portugal","1994","82 years","Number","13,673",""
"Males","Portugal","1994","83 years","Number","12,139",""
"Males","Portugal","1994","84 years","Number","9,657",""
"Males","Portugal","1994","85 years","Number","7,340",""
"Males","Portugal","1994","86 years","Number","6,157",""
"Males","Portugal","1994","87 years","Number","4,621",""
"Males","Portugal","1994","88 years","Number","3,173",""
"Males","Portugal","1994","89 years","Number","2,539",""
"Males","Portugal","1994","90 years","Number","1,805",""
"Males","Portugal","1994","91 years","Number","1,312",""
"Males","Portugal","1994","92 years","Number","1,103",""
"Males","Portugal","1994","93 years","Number","588",""
"Males","Portugal","1994","94 years","Number","351",""
"Males","Portugal","1994","95 years","Number","161",""
"Males","Portugal","1994","96 years","Number","202",""
"Males","Portugal","1994","97 years","Number","120",""
"Males","Portugal","1994","98 years","Number","106",""
"Males","Portugal","1994","99 years","Number","72",""
"Males","Portugal","1994","Open-ended age class","Number","312",""
"Males","Portugal","1995","Less than 1 year","Number","55,802",""
"Males","Portugal","1995","1 year","Number","57,351",""
"Males","Portugal","1995","2 years","Number","57,470",""
"Males","Portugal","1995","3 years","Number","58,209",""
"Males","Portugal","1995","4 years","Number","55,710",""
"Males","Portugal","1995","5 years","Number","56,290",""
"Males","Portugal","1995","6 years","Number","55,500",""
"Males","Portugal","1995","7 years","Number","56,578",""
"Males","Portugal","1995","8 years","Number","58,249",""
"Males","Portugal","1995","9 years","Number","61,306",""
"Males","Portugal","1995","10 years","Number","65,219",""
"Males","Portugal","1995","11 years","Number","67,366",""
"Males","Portugal","1995","12 years","Number","70,090",""
"Males","Portugal","1995","13 years","Number","71,614",""
"Males","Portugal","1995","14 years","Number","74,826",""
"Males","Portugal","1995","15 years","Number","75,472",""
"Males","Portugal","1995","16 years","Number","77,147",""
"Males","Portugal","1995","17 years","Number","82,052",""
"Males","Portugal","1995","18 years","Number","85,556",""
"Males","Portugal","1995","19 years","Number","86,485",""
"Males","Portugal","1995","20 years","Number","84,267",""
"Males","Portugal","1995","21 years","Number","81,746",""
"Males","Portugal","1995","22 years","Number","81,772",""
"Males","Portugal","1995","23 years","Number","80,388",""
"Males","Portugal","1995","24 years","Number","78,781",""
"Males","Portugal","1995","25 years","Number","75,850",""
"Males","Portugal","1995","26 years","Number","74,882",""
"Males","Portugal","1995","27 years","Number","73,643",""
"Males","Portugal","1995","28 years","Number","73,562",""
"Males","Portugal","1995","29 years","Number","73,226",""
"Males","Portugal","1995","30 years","Number","73,399",""
"Males","Portugal","1995","31 years","Number","71,944",""
"Males","Portugal","1995","32 years","Number","71,334",""
"Males","Portugal","1995","33 years","Number","71,036",""
"Males","Portugal","1995","34 years","Number","71,960",""
"Males","Portugal","1995","35 years","Number","68,982",""
"Males","Portugal","1995","36 years","Number","68,425",""
"Males","Portugal","1995","37 years","Number","68,743",""
"Males","Portugal","1995","38 years","Number","65,609",""
"Males","Portugal","1995","39 years","Number","66,669",""
"Males","Portugal","1995","40 years","Number","65,535",""
"Males","Portugal","1995","41 years","Number","63,269",""
"Males","Portugal","1995","42 years","Number","64,425",""
"Males","Portugal","1995","43 years","Number","64,483",""
"Males","Portugal","1995","44 years","Number","64,615",""
"Males","Portugal","1995","45 years","Number","63,411",""
"Males","Portugal","1995","46 years","Number","63,972",""
"Males","Portugal","1995","47 years","Number","58,488",""
"Males","Portugal","1995","48 years","Number","56,582",""
"Males","Portugal","1995","49 years","Number","59,127",""
